regime,dataset_seed,sampling_attempts,n,T,dimension,bad_coordinate,eta,beta,radius_r,eta_r_sqrtT,theorem_radius_condition,initial_gradient_norm,min_nonzero_gradient_norm,first_update_gate,chain_gate,unit_ball_gate,max_iterate_norm,wstar_empirical_risk,max_suffix_empirical_risk,sam_empirical_upper_envelope,min_suffix_population_lower_certificate,max_suffix_population_lower_certificate,min_certificate_to_lower_scale,lower_scale_eta2_r2_T
fixed_r,8,1,6,128,8193,14,0.041666666666666664,6.0,0.5,0.23570226039551584,True,6.7214231569502855e-21,6.7214231569502855e-21,True,True,True,0.2272725470902119,0.0,0.0,6.0,0.004221052956812403,0.012913153620862945,0.07597895322262326,0.05555555555555555
fixed_r,9,1,6,128,8193,32,0.041666666666666664,6.0,0.5,0.23570226039551584,True,7.219249034534488e-21,7.219249034534488e-21,True,True,True,0.22727254707234806,0.0,0.0,6.0,0.004221052954751262,0.01291315361878797,0.07597895318552272,0.05555555555555555
saturated_eta_r_sqrtT,0,3,6,16,1025,21,0.041666666666666664,6.0,3.0,0.5,True,4.612906571629773e-16,4.612906571629773e-16,True,True,True,0.4553201223945708,0.0,0.0,216.0000000000002,0.01468377181699408,0.05182733804343213,0.05873508726797632,0.25
saturated_eta_r_sqrtT,1,3,6,16,1025,15,0.041666666666666664,6.0,3.0,0.5,True,4.815268308850679e-16,4.815268308850679e-16,True,True,True,0.4553201208131448,0.0,0.0,216.0000000000002,0.014683771477063793,0.051827337675405566,0.05873508590825517,0.25
saturated_eta_r_sqrtT,2,4,6,16,1025,2,0.041666666666666664,6.0,3.0,0.5,True,4.940951663607883e-16,4.940951663607883e-16,True,True,True,0.4553201198961592,0.0,0.0,216.0000000000002,0.014683771279955269,0.05182733746200516,0.058735085119821076,0.25
saturated_eta_r_sqrtT,3,1,6,16,1025,6,0.041666666666666664,6.0,3.0,0.5,True,4.634990789878051e-16,4.634990789878051e-16,True,True,True,0.4553201222152769,0.0,0.0,216.0000000000002,0.014683771778453886,0.0518273380017065,0.058735087113815546,0.25
saturated_eta_r_sqrtT,4,2,6,16,1025,2,0.041666666666666664,6.0,3.0,0.5,True,4.885500670456825e-16,4.885500670456825e-16,True,True,True,0.4553201202949121,0.0,0.0,216.0000000000002,0.014683771365668688,0.05182733755480319,0.05873508546267475,0.25
saturated_eta_r_sqrtT,5,4,6,16,1025,28,0.041666666666666664,6.0,3.0,0.5,True,4.804736366155755e-16,4.804736366155755e-16,True,True,True,0.4553201208921697,0.0,0.0,216.0000000000002,0.014683771494049213,0.0518273376937949,0.05873508597619685,0.25
saturated_eta_r_sqrtT,6,1,6,16,1025,11,0.041666666666666664,6.0,3.0,0.5,True,4.836428586249453e-16,4.836428586249453e-16,True,True,True,0.4553201206554229,0.0,0.0,216.0000000000002,0.014683771443161103,0.05182733763870068,0.05873508577264441,0.25
saturated_eta_r_sqrtT,7,3,6,16,1025,53,0.041666666666666664,6.0,3.0,0.5,True,5.002729155257382e-16,5.002729155257382e-16,True,True,True,0.4553201194623184,0.0,0.0,216.0000000000002,0.014683771186700173,0.051827337361042045,0.05873508474680069,0.25
